CUSTOMER_ID,RENEWED,TOTAL_SESSIONS,GROSS_SESSION_LENGTH,ACTIVE_DAYS,ACTIVE_QUARTERS,AVG_SESSIONS_PER_QUARTER,AVG_SESSION_LENGTH_PER_DAY,AGE,EDUCATION,INCOME_LEVEL,DEVICE_TYPE,TECH_COMFORT_SCORE
8969,1,0,0,0,0,0.000000,0.000000,26,Graduate,High,Multi-device,4
10088,1,0,0,0,0,0.000000,0.000000,33,Graduate,Medium,Multi-device,4
48167,1,0,0,0,0,0.000000,0.000000,35,Other,Very High,Mobile-only,5
313762,0,17,373,2,2,8.500000,186.500000,29,Other,Very High,Desktop-only,2
18672,1,0,0,0,0,0.000000,0.000000,35,Graduate,High,Desktop-only,4
166584,1,8,215,1,1,8.000000,215.000000,37,Post-Graduate,High,Desktop-only,2
286848,1,0,0,0,0,0.000000,0.000000,26,Post-Graduate,High,Desktop-only,3
101216,0,0,0,0,0,0.000000,0.000000,36,High School,Medium,Desktop-only,1
107797,1,0,0,0,0,0.000000,0.000000,23,High School,Low,Mobile-only,1
158279,1,0,0,0,0,0.000000,0.000000,36,Post-Graduate,Medium,Multi-device,3
346505,1,0,0,0,0,0.000000,0.000000,39,Graduate,High,Multi-device,5
54687,0,0,0,0,0,0.000000,0.000000,32,High School,Low,Mobile-only,1
366833,1,15,436,1,1,15.000000,436.000000,25,Graduate,High,Multi-device,5
284727,1,0,0,0,0,0.000000,0.000000,34,Other,Very High,Mobile-only,2
490839,1,6,179,1,1,6.000000,179.000000,30,Post-Graduate,Medium,Desktop-only,3
169671,0,0,0,0,0,0.000000,0.000000,32,High School,Low,Mobile-only,1
313339,1,0,0,0,0,0.000000,0.000000,47,Post-Graduate,Medium,Multi-device,3
343620,1,15,532,1,1,15.000000,532.000000,28,Graduate,Medium,Multi-device,4
404130,1,7,108,1,1,7.000000,108.000000,48,Graduate,Medium,Multi-device,4
480056,0,1,9,1,1,1.000000,9.000000,30,Post-Graduate,Medium,Desktop-only,3
93093,1,0,0,0,0,0.000000,0.000000,37,Graduate,High,Multi-device,4
166121,1,0,0,0,0,0.000000,0.000000,30,Graduate,High,Multi-device,5
455161,1,0,0,0,0,0.000000,0.000000,45,Post-Graduate,Medium,Desktop-only,3
221669,1,10,219,1,1,10.000000,219.000000,22,Graduate,High,Multi-device,4
272490,1,0,0,0,0,0.000000,0.000000,48,Graduate,Medium,Multi-device,4
282144,1,3,34,1,1,3.000000,34.000000,25,Other,Very High,Desktop-only,2
317297,1,6,147,1,1,6.000000,147.000000,36,Graduate,Medium,Multi-device,4
440175,0,2,19,2,1,2.000000,9.500000,39,High School,Very High,Mobile-only,2
348122,1,22,691,1,1,22.000000,691.000000,41,Graduate,Medium,Multi-device,5
22282,1,0,0,0,0,0.000000,0.000000,37,Post-Graduate,Medium,Desktop-only,2
54669,1,0,0,0,0,0.000000,0.000000,40,High School,High,Multi-device,5
186706,1,0,0,0,0,0.000000,0.000000,45,Graduate,High,Multi-device,4
343946,1,0,0,0,0,0.000000,0.000000,44,Post-Graduate,Medium,Multi-device,3
445489,1,0,0,0,0,0.000000,0.000000,38,Graduate,High,Multi-device,4
444140,1,0,0,0,0,0.000000,0.000000,30,Graduate,High,Multi-device,5
331536,0,0,0,0,0,0.000000,0.000000,31,Other,Very High,Mobile-only,2
417144,0,0,0,0,0,0.000000,0.000000,31,Other,Very High,Desktop-only,2
398939,1,0,0,0,0,0.000000,0.000000,42,Post-Graduate,Medium,Desktop-only,3
133344,1,11,194,1,1,11.000000,194.000000,31,Post-Graduate,Medium,Desktop-only,2
5902,1,1,15,1,1,1.000000,15.000000,32,Graduate,High,Multi-device,4
284228,1,0,0,0,0,0.000000,0.000000,31,Graduate,High,Multi-device,5
404816,1,0,0,0,0,0.000000,0.000000,31,Graduate,High,Multi-device,5
396222,1,13,528,1,1,13.000000,528.000000,33,Post-Graduate,Medium,Desktop-only,3
486474,1,2,8,1,1,2.000000,8.000000,30,Graduate,High,Multi-device,5
468898,0,0,0,0,0,0.000000,0.000000,44,Post-Graduate,Medium,Desktop-only,2
417667,0,2,23,1,1,2.000000,23.000000,24,Other,Very High,Mobile-only,2
488091,1,3,42,1,1,3.000000,42.000000,36,Graduate,Medium,Desktop-only,3
396276,1,0,0,0,0,0.000000,0.000000,36,Other,Very High,Desktop-only,2
151138,0,26,1181,1,1,26.000000,1181.000000,30,High School,Low,Mobile-only,4
362042,1,0,0,0,0,0.000000,0.000000,32,Other,Low,Multi-device,2
425369,1,0,0,0,0,0.000000,0.000000,35,Other,Very High,Desktop-only,2
64406,0,0,0,0,0,0.000000,0.000000,26,Other,High,Mobile-only,2
81510,1,0,0,0,0,0.000000,0.000000,20,Graduate,High,Multi-device,4
149157,1,0,0,0,0,0.000000,0.000000,42,Graduate,High,Multi-device,3
23349,1,0,0,0,0,0.000000,0.000000,45,Post-Graduate,Medium,Multi-device,3
158338,1,0,0,0,0,0.000000,0.000000,20,Graduate,High,Multi-device,5
186274,1,29,1122,1,1,29.000000,1122.000000,42,Other,Very High,Desktop-only,4
297770,1,7,130,1,1,7.000000,130.000000,26,Other,Medium,Desktop-only,2
334183,1,0,0,0,0,0.000000,0.000000,21,Other,Very High,Desktop-only,2
259566,1,0,0,0,0,0.000000,0.000000,37,Graduate,High,Multi-device,4
425553,1,0,0,0,0,0.000000,0.000000,25,Graduate,High,Multi-device,5
409693,1,15,465,1,1,15.000000,465.000000,26,Graduate,Medium,Multi-device,4
10910,1,10,437,1,1,10.000000,437.000000,26,Graduate,High,Multi-device,5
